time (time),v(vdd) (voltage),v(clk) (voltage),v(sig) (voltage),v(en) (voltage),v(rst) (voltage),v(out) (voltage)
0.0,0.82,0.0,0.0,0.0,0.0,1.234978e-07
1e-13,0.82,0.00082,0.0,0.00082,0.0,3.752012e-05
2e-13,0.82,0.00164,0.0,0.00164,0.0,7.348264e-05
4e-13,0.82,0.00328,0.0,0.00328,0.0,0.0001443994
8e-13,0.82,0.00656,0.0,0.00656,0.0,0.0002850656
1.6e-12,0.82,0.01312,0.0,0.01312,0.0,0.000567338
3.2e-12,0.82,0.02624,0.0,0.02624,0.0,0.001118246
6.4e-12,0.82,0.05248,0.0,0.05248,0.0,0.002181569
1.28e-11,0.82,0.10496,0.0,0.10496,0.0,0.004147831
2.56e-11,0.82,0.20992,0.0,0.20992,0.0,0.007752629
5.12e-11,0.82,0.41984,0.0,0.41984,0.0,0.0113522
1e-10,0.82,0.82,0.0,0.82,0.0,-0.006594154
1.0512e-10,0.82,0.82,0.0,0.82,0.0,-0.01119099
1.1536e-10,0.82,0.82,0.0,0.82,0.0,-0.01775107
1.3584e-10,0.82,0.82,0.0,0.82,0.0,-0.01878682
1.768e-10,0.82,0.82,0.0,0.82,0.0,-0.005283818
2.5872e-10,0.82,0.82,0.0,0.82,0.0,0.001331926
4.215554e-10,0.82,0.82,0.0,0.82,0.0,-0.0006583707
6.1719e-10,0.82,0.82,0.0,0.82,0.0,0.0003580461
1.008459e-09,0.82,0.82,0.0,0.82,0.0,-0.0002672135
1.790998e-09,0.82,0.82,0.0,0.82,0.0,0.0002301192
3.356074e-09,0.82,0.82,0.0,0.82,0.0,-0.0002131069
5.1e-09,0.82,0.82,0.0,0.82,0.0,0.0001993526
5.11e-09,0.82,0.738,0.0,0.82,0.0,9.253904e-05
5.13e-09,0.82,0.574,0.0,0.82,0.0,-5.844291e-05
5.17e-09,0.82,0.246,0.0,0.82,0.0,-0.0001171766
5.2e-09,0.82,0.0,0.0,0.82,0.0,-8.36374e-05
5.208e-09,0.82,0.0,0.0,0.82,0.0,-2.571477e-05
5.224e-09,0.82,0.0,0.0,0.82,0.0,5.308626e-05
5.256e-09,0.82,0.0,0.0,0.82,0.0,9.879233e-05
5.32e-09,0.82,0.0,0.0,0.82,0.0,9.735405e-05
5.448e-09,0.82,0.0,0.0,0.82,0.0,4.55808e-05
5.704e-09,0.82,0.0,0.0,0.82,0.0,-5.78619e-05
6.216e-09,0.82,0.0,0.0,0.82,0.0,2.395628e-05
7e-09,0.82,0.0,0.0,0.82,0.0,-8.723484e-06
7.01e-09,0.82,0.0,0.082,0.82,0.0,0.006208205
7.03e-09,0.82,0.0,0.246,0.82,0.0,0.01616059
7.07e-09,0.82,0.0,0.574,0.82,0.0,0.02386798
7.1e-09,0.82,0.0,0.82,0.82,0.0,0.0233502
7.108e-09,0.82,0.0,0.82,0.82,0.0,0.01962867
7.124e-09,0.82,0.0,0.82,0.82,0.0,0.01367832
7.156e-09,0.82,0.0,0.82,0.82,0.0,0.007505643
7.22e-09,0.82,0.0,0.82,0.82,0.0,0.003552898
7.348e-09,0.82,0.0,0.82,0.82,0.0,0.00198269
7.604e-09,0.82,0.0,0.82,0.82,0.0,0.001167329
7.886959e-09,0.82,0.0,0.82,0.82,0.0,0.0008214282
8.452877e-09,0.82,0.0,0.82,0.82,0.0,0.0003510165
9.026226e-09,0.82,0.0,0.82,0.82,0.0,0.0003324069
1e-08,0.82,0.0,0.82,0.82,0.0,0.0001478548
1.001e-08,0.82,0.082,0.82,0.82,0.0,0.0001914531
1.003e-08,0.82,0.246,0.82,0.82,0.0,0.0003096327
1.007e-08,0.82,0.574,0.82,0.82,0.0,0.0005522128
1.01e-08,0.82,0.82,0.82,0.82,0.0,0.0006834613
1.0108e-08,0.82,0.82,0.82,0.82,0.0,0.0006155751
1.0124e-08,0.82,0.82,0.82,0.82,0.0,0.0004762182
1.0156e-08,0.82,0.82,0.82,0.82,0.0,-3.974752e-05
1.022e-08,0.82,0.82,0.82,0.82,0.0,-0.001961173
1.0348e-08,0.82,0.82,0.82,0.82,0.0,-0.007140129
1.056571e-08,0.82,0.82,0.82,0.82,0.0,0.09684739
1.08404e-08,0.82,0.82,0.82,0.82,0.0,0.5165127
1.138978e-08,0.82,0.82,0.82,0.82,0.0,0.8623746
1.21613e-08,0.82,0.82,0.82,0.82,0.0,0.799747
1.321354e-08,0.82,0.82,0.82,0.82,0.0,0.8324344
1.475226e-08,0.82,0.82,0.82,0.82,0.0,0.8111106
1.51e-08,0.82,0.82,0.82,0.82,0.0,0.822036
1.511e-08,0.82,0.738,0.82,0.82,0.0,0.8215786
1.513e-08,0.82,0.574,0.82,0.82,0.0,0.8208546
1.517e-08,0.82,0.246,0.82,0.82,0.0,0.8201735
1.52e-08,0.82,0.0,0.82,0.82,0.0,0.8200921
