time (time),v(vdd) (voltage),v(clk) (voltage),v(sig) (voltage),v(en) (voltage),v(rst) (voltage),v(out) (voltage)
0.0,0.82,0.0,0.0,0.0,0.0,0.8199875
1e-13,0.82,0.00082,0.0,0.00082,0.0,0.8201348
2e-13,0.82,0.00164,0.0,0.00164,0.0,0.820221
4e-13,0.82,0.00328,0.0,0.00328,0.0,0.8204054
8e-13,0.82,0.00656,0.0,0.00656,0.0,0.8207593
1.6e-12,0.82,0.01312,0.0,0.01312,0.0,0.8215006
3.2e-12,0.82,0.02624,0.0,0.02624,0.0,0.8229582
6.4e-12,0.82,0.05248,0.0,0.05248,0.0,0.8258043
1.28e-11,0.82,0.10496,0.0,0.10496,0.0,0.8312091
2.56e-11,0.82,0.20992,0.0,0.20992,0.0,0.8409035
5.12e-11,0.82,0.41984,0.0,0.41984,0.0,0.8544089
1e-10,0.82,0.82,0.0,0.82,0.0,0.8500059
1.0512e-10,0.82,0.82,0.0,0.82,0.0,0.8447392
1.1536e-10,0.82,0.82,0.0,0.82,0.0,0.8351029
1.3584e-10,0.82,0.82,0.0,0.82,0.0,0.8203655
1.768e-10,0.82,0.82,0.0,0.82,0.0,0.8053278
2.5872e-10,0.82,0.82,0.0,0.82,0.0,0.8008609
4.2256e-10,0.82,0.82,0.0,0.82,0.0,0.8141688
7.202182e-10,0.82,0.82,0.0,0.82,0.0,0.8222676
1.084905e-09,0.82,0.82,0.0,0.82,0.0,0.8186022
1.703768e-09,0.82,0.82,0.0,0.82,0.0,0.8210216
2.480231e-09,0.82,0.82,0.0,0.82,0.0,0.8191753
3.569565e-09,0.82,0.82,0.0,0.82,0.0,0.8206865
5.1e-09,0.82,0.82,0.0,0.82,0.0,0.8193751
5.11e-09,0.82,0.738,0.0,0.82,0.0,0.8194414
5.13e-09,0.82,0.574,0.0,0.82,0.0,0.8195059
5.17e-09,0.82,0.246,0.0,0.82,0.0,0.8195875
5.2e-09,0.82,0.0,0.0,0.82,0.0,0.8197732
5.208e-09,0.82,0.0,0.0,0.82,0.0,0.8199122
5.224e-09,0.82,0.0,0.0,0.82,0.0,0.8201358
5.256e-09,0.82,0.0,0.0,0.82,0.0,0.8203083
5.32e-09,0.82,0.0,0.0,0.82,0.0,0.8201789
5.448e-09,0.82,0.0,0.0,0.82,0.0,0.8198593
5.704e-09,0.82,0.0,0.0,0.82,0.0,0.8199901
6.142083e-09,0.82,0.0,0.0,0.82,0.0,0.8200183
6.660003e-09,0.82,0.0,0.0,0.82,0.0,0.8199734
7e-09,0.82,0.0,0.0,0.82,0.0,0.8200124
7.01e-09,0.82,0.0,0.082,0.82,0.0,0.8258513
7.03e-09,0.82,0.0,0.246,0.82,0.0,0.8362563
7.07e-09,0.82,0.0,0.574,0.82,0.0,0.84999
7.1e-09,0.82,0.0,0.82,0.82,0.0,0.8566457
7.108e-09,0.82,0.0,0.82,0.82,0.0,0.8547245
7.124e-09,0.82,0.0,0.82,0.82,0.0,0.8511675
7.156e-09,0.82,0.0,0.82,0.82,0.0,0.845406
7.22e-09,0.82,0.0,0.82,0.82,0.0,0.8372012
7.348e-09,0.82,0.0,0.82,0.82,0.0,0.8269815
7.604e-09,0.82,0.0,0.82,0.82,0.0,0.819297
8.116e-09,0.82,0.0,0.82,0.82,0.0,0.8202461
8.634701e-09,0.82,0.0,0.82,0.82,0.0,0.8199715
9.605444e-09,0.82,0.0,0.82,0.82,0.0,0.8199652
1e-08,0.82,0.0,0.82,0.82,0.0,0.8200728
1.001e-08,0.82,0.082,0.82,0.82,0.0,0.8201777
1.003e-08,0.82,0.246,0.82,0.82,0.0,0.8203137
1.007e-08,0.82,0.574,0.82,0.82,0.0,0.8203058
1.01e-08,0.82,0.82,0.82,0.82,0.0,0.8200704
1.0108e-08,0.82,0.82,0.82,0.82,0.0,0.8199591
1.0124e-08,0.82,0.82,0.82,0.82,0.0,0.819786
1.0156e-08,0.82,0.82,0.82,0.82,0.0,0.8196426
1.022e-08,0.82,0.82,0.82,0.82,0.0,0.8197463
1.0348e-08,0.82,0.82,0.82,0.82,0.0,0.8200968
1.0604e-08,0.82,0.82,0.82,0.82,0.0,0.8200404
1.104974e-08,0.82,0.82,0.82,0.82,0.0,0.8199449
1.158674e-08,0.82,0.82,0.82,0.82,0.0,0.8200368
1.266076e-08,0.82,0.82,0.82,0.82,0.0,0.8199612
1.48088e-08,0.82,0.82,0.82,0.82,0.0,0.8200286
1.51e-08,0.82,0.82,0.82,0.82,0.0,0.8199792
1.511e-08,0.82,0.738,0.82,0.82,0.0,0.8199409
1.513e-08,0.82,0.574,0.82,0.82,0.0,0.8198355
1.517e-08,0.82,0.246,0.82,0.82,0.0,0.8197301
1.52e-08,0.82,0.0,0.82,0.82,0.0,0.8198432
1.5208e-08,0.82,0.0,0.82,0.82,0.0,0.8199661
1.5224e-08,0.82,0.0,0.82,0.82,0.0,0.8201646
1.5256e-08,0.82,0.0,0.82,0.82,0.0,0.8203006
1.532e-08,0.82,0.0,0.82,0.82,0.0,0.8201843
1.5448e-08,0.82,0.0,0.82,0.82,0.0,0.8198926
1.5704e-08,0.82,0.0,0.82,0.82,0.0,0.8199742
