time (time),v(vdd) (voltage),v(clk) (voltage),v(sig) (voltage),v(en) (voltage),v(rst) (voltage),v(out) (voltage)
0.0,0.8,0.0,0.0,0.0,0.0,1.86027e-06
1e-13,0.8,0.0008,0.0,0.0008,0.0,3.897809e-05
2e-13,0.8,0.0016,0.0,0.0016,0.0,7.476213e-05
4e-13,0.8,0.0032,0.0,0.0032,0.0,0.0001452875
8e-13,0.8,0.0064,0.0,0.0064,0.0,0.0002884949
1.6e-12,0.8,0.0128,0.0,0.0128,0.0,0.0005723027
3.2e-12,0.8,0.0256,0.0,0.0256,0.0,0.001118015
6.4e-12,0.8,0.0512,0.0,0.0512,0.0,0.002162717
1.28e-11,0.8,0.1024,0.0,0.1024,0.0,0.00411198
2.56e-11,0.8,0.2048,0.0,0.2048,0.0,0.007689749
5.12e-11,0.8,0.4096,0.0,0.4096,0.0,0.01195404
1e-10,0.8,0.8,0.0,0.8,0.0,-0.00209728
1.0512e-10,0.8,0.8,0.0,0.8,0.0,-0.006691611
1.1536e-10,0.8,0.8,0.0,0.8,0.0,-0.01407131
1.3584e-10,0.8,0.8,0.0,0.8,0.0,-0.01982994
1.768e-10,0.8,0.8,0.0,0.8,0.0,-0.01124766
2.5872e-10,0.8,0.8,0.0,0.8,0.0,0.001079938
4.2256e-10,0.8,0.8,0.0,0.8,0.0,-0.0003221469
6.288927e-10,0.8,0.8,0.0,0.8,0.0,8.771507e-05
1.033475e-09,0.8,0.8,0.0,0.8,0.0,-3.333161e-05
1.842639e-09,0.8,0.8,0.0,0.8,0.0,1.895135e-05
3.460967e-09,0.8,0.8,0.0,0.8,0.0,-7.867186e-06
5.1e-09,0.8,0.8,0.0,0.8,0.0,5.094329e-06
5.11e-09,0.8,0.72,0.0,0.8,0.0,-4.194854e-05
5.13e-09,0.8,0.56,0.0,0.8,0.0,-0.0001073916
5.17e-09,0.8,0.24,0.0,0.8,0.0,-0.0001010685
5.2e-09,0.8,0.0,0.0,0.8,0.0,-4.218901e-05
5.208e-09,0.8,0.0,0.0,0.8,0.0,2.309796e-05
5.224e-09,0.8,0.0,0.0,0.8,0.0,0.0001176724
5.256e-09,0.8,0.0,0.0,0.8,0.0,0.0001781952
5.32e-09,0.8,0.0,0.0,0.8,0.0,0.0001222106
5.448e-09,0.8,0.0,0.0,0.8,0.0,-5.839669e-05
5.704e-09,0.8,0.0,0.0,0.8,0.0,-2.25666e-05
6.216e-09,0.8,0.0,0.0,0.8,0.0,3.290002e-05
6.858388e-09,0.8,0.0,0.0,0.8,0.0,-2.348784e-05
7e-09,0.8,0.0,0.0,0.8,0.0,2.011009e-06
7.01e-09,0.8,0.0,0.08,0.8,0.0,0.006252639
7.03e-09,0.8,0.0,0.24,0.8,0.0,0.01670968
7.07e-09,0.8,0.0,0.56,0.8,0.0,0.02679377
7.1e-09,0.8,0.0,0.8,0.8,0.0,0.02874026
7.108e-09,0.8,0.0,0.8,0.8,0.0,0.02535375
7.124e-09,0.8,0.0,0.8,0.8,0.0,0.01963521
7.156e-09,0.8,0.0,0.8,0.8,0.0,0.01261641
7.22e-09,0.8,0.0,0.8,0.8,0.0,0.006788208
7.348e-09,0.8,0.0,0.8,0.8,0.0,0.004467409
7.604e-09,0.8,0.0,0.8,0.8,0.0,0.002748769
7.884531e-09,0.8,0.0,0.8,0.8,0.0,0.001124211
8.445593e-09,0.8,0.0,0.8,0.8,0.0,0.0006372281
9.089799e-09,0.8,0.0,0.8,0.8,0.0,0.0003528956
9.958398e-09,0.8,0.0,0.8,0.8,0.0,0.000316799
