time (time),v(vdd) (voltage),v(clk) (voltage),v(sig) (voltage),v(en) (voltage),v(rst) (voltage),v(out) (voltage)
0.0,0.8,0.0,0.0,0.0,0.0,1.254033e-06
1e-13,0.8,0.0008,0.0,0.0008,0.0,3.853442e-05
2e-13,0.8,0.0016,0.0,0.0016,0.0,7.296434e-05
4e-13,0.8,0.0032,0.0,0.0032,0.0,0.0001417168
8e-13,0.8,0.0064,0.0,0.0064,0.0,0.0002780509
1.6e-12,0.8,0.0128,0.0,0.0128,0.0,0.0005515093
3.2e-12,0.8,0.0256,0.0,0.0256,0.0,0.001092001
6.4e-12,0.8,0.0512,0.0,0.0512,0.0,0.002136512
1.28e-11,0.8,0.1024,0.0,0.1024,0.0,0.004113416
2.56e-11,0.8,0.2048,0.0,0.2048,0.0,0.007860691
5.12e-11,0.8,0.4096,0.0,0.4096,0.0,0.01355312
1e-10,0.8,0.8,0.0,0.8,0.0,0.005734547
1.0512e-10,0.8,0.8,0.0,0.8,0.0,0.001839239
1.1536e-10,0.8,0.8,0.0,0.8,0.0,-0.005487982
1.3584e-10,0.8,0.8,0.0,0.8,0.0,-0.01547983
1.768e-10,0.8,0.8,0.0,0.8,0.0,-0.01876945
2.5872e-10,0.8,0.8,0.0,0.8,0.0,-0.003831643
4.2256e-10,0.8,0.8,0.0,0.8,0.0,0.001360389
7.08439e-10,0.8,0.8,0.0,0.8,0.0,-0.0007541479
1.075921e-09,0.8,0.8,0.0,0.8,0.0,0.0004688029
1.810885e-09,0.8,0.8,0.0,0.8,0.0,-0.0003668997
3.280814e-09,0.8,0.8,0.0,0.8,0.0,0.0003275938
5.1e-09,0.8,0.8,0.0,0.8,0.0,-0.0002949917
5.11e-09,0.8,0.72,0.0,0.8,0.0,-0.0003069795
5.13e-09,0.8,0.56,0.0,0.8,0.0,-0.0003045023
5.17e-09,0.8,0.24,0.0,0.8,0.0,-0.0002384394
5.2e-09,0.8,0.0,0.0,0.8,0.0,-0.0001470559
5.208e-09,0.8,0.0,0.0,0.8,0.0,-7.818159e-05
5.224e-09,0.8,0.0,0.0,0.8,0.0,3.199836e-05
5.256e-09,0.8,0.0,0.0,0.8,0.0,0.0001347873
5.32e-09,0.8,0.0,0.0,0.8,0.0,0.0001652707
5.448e-09,0.8,0.0,0.0,0.8,0.0,3.861517e-05
5.704e-09,0.8,0.0,0.0,0.8,0.0,-8.309706e-05
6.216e-09,0.8,0.0,0.0,0.8,0.0,4.494596e-05
7e-09,0.8,0.0,0.0,0.8,0.0,-1.997315e-05
7.01e-09,0.8,0.0,0.08,0.8,0.0,0.006500669
7.03e-09,0.8,0.0,0.24,0.8,0.0,0.0178605
7.07e-09,0.8,0.0,0.56,0.8,0.0,0.0311255
7.1e-09,0.8,0.0,0.8,0.8,0.0,0.035472
7.108e-09,0.8,0.0,0.8,0.8,0.0,0.03235036
7.124e-09,0.8,0.0,0.8,0.8,0.0,0.02682283
7.156e-09,0.8,0.0,0.8,0.8,0.0,0.0190586
7.22e-09,0.8,0.0,0.8,0.8,0.0,0.01079988
7.348e-09,0.8,0.0,0.8,0.8,0.0,0.005933369
7.604e-09,0.8,0.0,0.8,0.8,0.0,0.004493822
8.028771e-09,0.8,0.0,0.8,0.8,0.0,0.001892168
8.55755e-09,0.8,0.0,0.8,0.8,0.0,0.0005824952
9.372833e-09,0.8,0.0,0.8,0.8,0.0,0.0006349999
1e-08,0.8,0.0,0.8,0.8,0.0,0.0002658298
1.001e-08,0.8,0.08,0.8,0.8,0.0,0.000312224
1.003e-08,0.8,0.24,0.8,0.8,0.0,0.0004244604
