time (time),v(vdd) (voltage),v(clk) (voltage),v(sig) (voltage),v(en) (voltage),v(rst) (voltage),v(out) (voltage)
0.0,0.82,0.0,0.0,0.0,0.0,3.279112e-06
1e-13,0.82,0.00082,0.0,0.00082,0.0,4.15991e-05
2e-13,0.82,0.00164,0.0,0.00164,0.0,7.582636e-05
4e-13,0.82,0.00328,0.0,0.00328,0.0,0.0001446324
8e-13,0.82,0.00656,0.0,0.00656,0.0,0.0002819577
1.6e-12,0.82,0.01312,0.0,0.01312,0.0,0.0005523
3.2e-12,0.82,0.02624,0.0,0.02624,0.0,0.001095623
6.4e-12,0.82,0.05248,0.0,0.05248,0.0,0.002158486
1.28e-11,0.82,0.10496,0.0,0.10496,0.0,0.004235283
2.56e-11,0.82,0.20992,0.0,0.20992,0.0,0.008308869
5.12e-11,0.82,0.41984,0.0,0.41984,0.0,0.01552528
1e-10,0.82,0.82,0.0,0.82,0.0,0.01776955
1.0512e-10,0.82,0.82,0.0,0.82,0.0,0.0151855
1.1536e-10,0.82,0.82,0.0,0.82,0.0,0.01019541
1.3584e-10,0.82,0.82,0.0,0.82,0.0,0.001232007
1.768e-10,0.82,0.82,0.0,0.82,0.0,-0.01223179
2.5872e-10,0.82,0.82,0.0,0.82,0.0,-0.01934795
4.2256e-10,0.82,0.82,0.0,0.82,0.0,-0.004620817
7.5024e-10,0.82,0.82,0.0,0.82,0.0,0.001660651
1.285255e-09,0.82,0.82,0.0,0.82,0.0,-0.0008894268
1.983794e-09,0.82,0.82,0.0,0.82,0.0,0.0005510056
3.380871e-09,0.82,0.82,0.0,0.82,0.0,-0.0004259693
5.1e-09,0.82,0.82,0.0,0.82,0.0,0.0003552557
5.11e-09,0.82,0.738,0.0,0.82,0.0,0.0002543031
5.13e-09,0.82,0.574,0.0,0.82,0.0,8.09681e-05
5.17e-09,0.82,0.246,0.0,0.82,0.0,-0.0001304526
5.2e-09,0.82,0.0,0.0,0.82,0.0,-0.000170914
5.208e-09,0.82,0.0,0.0,0.82,0.0,-0.000125186
5.224e-09,0.82,0.0,0.0,0.82,0.0,-4.34673e-05
5.256e-09,0.82,0.0,0.0,0.82,0.0,6.72127e-05
5.32e-09,0.82,0.0,0.0,0.82,0.0,0.000168993
5.448e-09,0.82,0.0,0.0,0.82,0.0,0.0001767808
5.704e-09,0.82,0.0,0.0,0.82,0.0,1.027807e-05
6.216e-09,0.82,0.0,0.0,0.82,0.0,-6.680595e-05
7e-09,0.82,0.0,0.0,0.82,0.0,4.407298e-05
7.01e-09,0.82,0.0,0.082,0.82,0.0,0.007135399
7.03e-09,0.82,0.0,0.246,0.82,0.0,0.02017793
7.07e-09,0.82,0.0,0.574,0.82,0.0,0.03944903
7.1e-09,0.82,0.0,0.82,0.82,0.0,0.04948059
7.108e-09,0.82,0.0,0.82,0.82,0.0,0.04730244
7.124e-09,0.82,0.0,0.82,0.82,0.0,0.04317026
7.156e-09,0.82,0.0,0.82,0.82,0.0,0.03627887
7.22e-09,0.82,0.0,0.82,0.82,0.0,0.02686259
7.348e-09,0.82,0.0,0.82,0.82,0.0,0.02111834
7.604e-09,0.82,0.0,0.82,0.82,0.0,0.02061974
8.116e-09,0.82,0.0,0.82,0.82,0.0,0.008012753
8.902359e-09,0.82,0.0,0.82,0.82,0.0,0.001016653
9.930442e-09,0.82,0.0,0.82,0.82,0.0,0.001654627
1e-08,0.82,0.0,0.82,0.82,0.0,0.001231335
1.001e-08,0.82,0.082,0.82,0.82,0.0,0.001239584
1.003e-08,0.82,0.246,0.82,0.82,0.0,0.001283971
1.007e-08,0.82,0.574,0.82,0.82,0.0,0.001446424
1.01e-08,0.82,0.82,0.82,0.82,0.0,0.001596497
1.0108e-08,0.82,0.82,0.82,0.82,0.0,0.001556248
1.0124e-08,0.82,0.82,0.82,0.82,0.0,0.001488472
1.0156e-08,0.82,0.82,0.82,0.82,0.0,0.00135539
1.022e-08,0.82,0.82,0.82,0.82,0.0,0.00108031
1.0348e-08,0.82,0.82,0.82,0.82,0.0,0.0005004296
1.0604e-08,0.82,0.82,0.82,0.82,0.0,-0.001629137
1.1116e-08,0.82,0.82,0.82,0.82,0.0,0.02184455
1.183045e-08,0.82,0.82,0.82,0.82,0.0,0.5411094
1.297869e-08,0.82,0.82,0.82,0.82,0.0,0.8998903
1.45902e-08,0.82,0.82,0.82,0.82,0.0,0.767155
1.51e-08,0.82,0.82,0.82,0.82,0.0,0.8261074
1.511e-08,0.82,0.738,0.82,0.82,0.0,0.8256794
1.513e-08,0.82,0.574,0.82,0.82,0.0,0.8248479
1.517e-08,0.82,0.246,0.82,0.82,0.0,0.8234743
1.52e-08,0.82,0.0,0.82,0.82,0.0,0.8227535
1.5208e-08,0.82,0.0,0.82,0.82,0.0,0.8226856
1.5224e-08,0.82,0.0,0.82,0.82,0.0,0.8225464
1.5256e-08,0.82,0.0,0.82,0.82,0.0,0.8222601
1.532e-08,0.82,0.0,0.82,0.82,0.0,0.8217042
1.5448e-08,0.82,0.0,0.82,0.82,0.0,0.8208485
1.5704e-08,0.82,0.0,0.82,0.82,0.0,0.8200421
1.6216e-08,0.82,0.0,0.82,0.82,0.0,0.8198805
1.724e-08,0.82,0.0,0.82,0.82,0.0,0.8199934
1.868051e-08,0.82,0.0,0.82,0.82,0.0,0.8199173
2e-08,0.82,0.0,0.82,0.82,0.0,0.8199682
2.001e-08,0.82,0.082,0.82,0.82,0.082,0.8200794
2.003e-08,0.82,0.246,0.82,0.82,0.246,0.8202657
2.007e-08,0.82,0.574,0.82,0.82,0.574,0.8204138
2.01e-08,0.82,0.82,0.82,0.82,0.82,0.8202435
2.0108e-08,0.82,0.82,0.82,0.82,0.82,0.8201231
2.0124e-08,0.82,0.82,0.82,0.82,0.82,0.8199184
2.0156e-08,0.82,0.82,0.82,0.82,0.82,0.8196707
2.022e-08,0.82,0.82,0.82,0.82,0.82,0.8195728
2.0348e-08,0.82,0.82,0.82,0.82,0.82,0.8200131
2.0604e-08,0.82,0.82,0.82,0.82,0.82,0.8202599
2.1116e-08,0.82,0.82,0.82,0.82,0.82,0.8197696
2.172733e-08,0.82,0.82,0.82,0.82,0.82,0.8199131
2.185754e-08,0.82,0.82,0.82,0.82,0.82,0.8199314
2.211797e-08,0.82,0.82,0.82,0.82,0.82,0.8199419
2.263882e-08,0.82,0.82,0.82,0.82,0.82,0.8199454
2.368053e-08,0.82,0.82,0.82,0.82,0.82,0.8199506
2.51e-08,0.82,0.82,0.82,0.82,0.82,0.819945
2.511e-08,0.82,0.738,0.738,0.82,0.82,0.8145625
2.513e-08,0.82,0.574,0.574,0.82,0.82,0.8042338
2.517e-08,0.82,0.246,0.246,0.82,0.82,0.7846329
2.52e-08,0.82,0.0,1.987299e-14,0.82,0.82,0.7692954
2.5208e-08,0.82,0.0,0.0,0.82,0.82,0.7690638
2.5224e-08,0.82,0.0,0.0,0.82,0.82,0.7687812
2.5256e-08,0.82,0.0,0.0,0.82,0.82,0.7689623
2.532e-08,0.82,0.0,0.0,0.82,0.82,0.7717088
2.5448e-08,0.82,0.0,0.0,0.82,0.82,0.7822977
2.5704e-08,0.82,0.0,0.0,0.82,0.82,0.8054135
2.6216e-08,0.82,0.0,0.0,0.82,0.82,0.8217471
2.70281e-08,0.82,0.0,0.0,0.82,0.82,0.8191345
2.71957e-08,0.82,0.0,0.0,0.82,0.82,0.8195234
2.753092e-08,0.82,0.0,0.0,0.82,0.82,0.8198972
2.820135e-08,0.82,0.0,0.0,0.82,0.82,0.8198897
2.95422e-08,0.82,0.0,0.0,0.82,0.82,0.8199082
3e-08,0.82,0.0,0.0,0.82,0.82,0.8198935
3.001e-08,0.82,0.082,0.0,0.82,0.82,0.8199912
3.003e-08,0.82,0.246,0.0,0.82,0.82,0.8201614
3.007e-08,0.82,0.574,0.0,0.82,0.82,0.8202087
