time (time)	v(vdd) (voltage)	v(clk) (voltage)	v(sig) (voltage)	v(en) (voltage)	v(rst) (voltage)	v(out) (voltage)
0.000000e+00	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.234978e-07
1.000000e-13	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.294344e-07
2.000000e-13	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.076687e-07
4.000000e-13	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.710305e-07
8.000000e-13	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.652240e-07
1.600000e-12	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.053132e-07
3.200000e-12	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.245532e-07
6.400000e-12	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	9.956773e-08
1.280000e-11	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.084251e-07
2.560000e-11	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.144605e-07
5.120000e-11	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.094058e-07
1.024000e-10	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.629125e-07
2.048000e-10	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.411976e-07
4.096000e-10	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.563663e-07
8.192000e-10	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	9.033506e-08
1.000000e-09	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.562932e-07
1.010000e-09	8.200000e-01	8.200000e-02	0.000000e+00	0.000000e+00	0.000000e+00	3.231146e-05
1.030000e-09	8.200000e-01	2.460000e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.888783e-05
1.070000e-09	8.200000e-01	5.740000e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.497602e-05
1.100000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-8.809477e-05
1.108000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.459621e-04
1.124000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.904293e-04
1.156000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-7.644247e-05
1.220000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.819284e-05
1.348000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-4.259112e-06
1.566783e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.979363e-06
1.858682e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-9.947229e-06
2.000000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.544850e-06
2.010000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-02	0.000000e+00	3.025255e-03
2.030000e-09	8.200000e-01	8.200000e-01	0.000000e+00	2.460000e-01	0.000000e+00	8.538813e-03
2.070000e-09	8.200000e-01	8.200000e-01	0.000000e+00	5.740000e-01	0.000000e+00	8.198006e-03
2.100000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-8.294377e-03
2.108000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-1.408749e-02
2.124000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-1.998017e-02
2.156000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-1.197058e-02
2.220000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	7.886785e-04
2.348000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-1.859206e-04
2.514840e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	2.313423e-05
2.848521e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	1.042848e-05
3.515882e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-2.131623e-05
4.850605e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	2.574786e-05
6.100000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-2.939137e-05
6.110000e-09	8.200000e-01	7.380000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-5.384995e-05
6.130000e-09	8.200000e-01	5.740000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-1.143681e-04
6.170000e-09	8.200000e-01	2.460000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-1.163156e-04
6.200000e-09	8.200000e-01	0.000000e+00	0.000000e+00	8.200000e-01	0.000000e+00	-8.270916e-05
6.208000e-09	8.200000e-01	0.000000e+00	0.000000e+00	8.200000e-01	0.000000e+00	-2.421163e-05
6.224000e-09	8.200000e-01	0.000000e+00	0.000000e+00	8.200000e-01	0.000000e+00	5.503943e-05
6.256000e-09	8.200000e-01	0.000000e+00	0.000000e+00	8.200000e-01	0.000000e+00	9.973969e-05
6.320000e-09	8.200000e-01	0.000000e+00	0.000000e+00	8.200000e-01	0.000000e+00	9.288648e-05
6.448000e-09	8.200000e-01	0.000000e+00	0.000000e+00	8.200000e-01	0.000000e+00	4.945963e-05
6.704000e-09	8.200000e-01	0.000000e+00	0.000000e+00	8.200000e-01	0.000000e+00	-6.043168e-05
7.000000e-09	8.200000e-01	0.000000e+00	0.000000e+00	8.200000e-01	0.000000e+00	9.283159e-06
7.010000e-09	8.200000e-01	0.000000e+00	8.200000e-02	8.200000e-01	0.000000e+00	6.226667e-03
7.030000e-09	8.200000e-01	0.000000e+00	2.460000e-01	8.200000e-01	0.000000e+00	1.619319e-02
7.070000e-09	8.200000e-01	0.000000e+00	5.740000e-01	8.200000e-01	0.000000e+00	2.390597e-02
