time (time)	v(vdd) (voltage)	v(clk) (voltage)	v(sig) (voltage)	v(en) (voltage)	v(rst) (voltage)	v(out) (voltage)
0.000000e+00	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.199875e-01
1.000000e-13	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.200427e-01
2.000000e-13	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.200351e-01
4.000000e-13	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.200325e-01
8.000000e-13	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.200135e-01
1.600000e-12	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.199661e-01
3.200000e-12	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.199719e-01
6.400000e-12	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.199693e-01
1.280000e-11	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.199749e-01
2.560000e-11	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.199645e-01
5.120000e-11	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.199619e-01
1.024000e-10	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.199756e-01
2.048000e-10	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.200043e-01
4.096000e-10	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.199823e-01
8.192000e-10	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.199920e-01
1.000000e-09	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.199841e-01
1.010000e-09	8.200000e-01	8.200000e-02	0.000000e+00	0.000000e+00	0.000000e+00	8.200819e-01
1.030000e-09	8.200000e-01	2.460000e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.202052e-01
1.070000e-09	8.200000e-01	5.740000e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.202040e-01
1.100000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.200241e-01
1.108000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.199435e-01
1.124000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.198202e-01
1.156000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.197329e-01
1.220000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.198222e-01
1.348000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.200584e-01
1.604000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.200138e-01
2.000000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.199647e-01
2.010000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-02	0.000000e+00	8.283138e-01
2.030000e-09	8.200000e-01	8.200000e-01	0.000000e+00	2.460000e-01	0.000000e+00	8.432513e-01
2.070000e-09	8.200000e-01	8.200000e-01	0.000000e+00	5.740000e-01	0.000000e+00	8.573771e-01
2.100000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	8.480060e-01
2.108000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	8.404413e-01
2.124000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	8.272445e-01
2.156000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	8.107892e-01
2.220000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	8.002341e-01
2.348000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	8.074942e-01
2.604000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	8.221252e-01
2.901272e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	8.192896e-01
3.455472e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	8.203526e-01
4.121413e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	8.197896e-01
4.967216e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	8.201204e-01
6.100000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	8.199032e-01
6.110000e-09	8.200000e-01	7.380000e-01	0.000000e+00	8.200000e-01	0.000000e+00	8.198732e-01
6.130000e-09	8.200000e-01	5.740000e-01	0.000000e+00	8.200000e-01	0.000000e+00	8.197748e-01
6.170000e-09	8.200000e-01	2.460000e-01	0.000000e+00	8.200000e-01	0.000000e+00	8.196775e-01
6.200000e-09	8.200000e-01	0.000000e+00	0.000000e+00	8.200000e-01	0.000000e+00	8.198113e-01
6.208000e-09	8.200000e-01	0.000000e+00	0.000000e+00	8.200000e-01	0.000000e+00	8.199419e-01
6.224000e-09	8.200000e-01	0.000000e+00	0.000000e+00	8.200000e-01	0.000000e+00	8.201545e-01
6.256000e-09	8.200000e-01	0.000000e+00	0.000000e+00	8.200000e-01	0.000000e+00	8.203021e-01
6.320000e-09	8.200000e-01	0.000000e+00	0.000000e+00	8.200000e-01	0.000000e+00	8.201637e-01
6.448000e-09	8.200000e-01	0.000000e+00	0.000000e+00	8.200000e-01	0.000000e+00	8.198629e-01
6.704000e-09	8.200000e-01	0.000000e+00	0.000000e+00	8.200000e-01	0.000000e+00	8.199899e-01
7.000000e-09	8.200000e-01	0.000000e+00	0.000000e+00	8.200000e-01	0.000000e+00	8.200199e-01
7.010000e-09	8.200000e-01	0.000000e+00	8.200000e-02	8.200000e-01	0.000000e+00	8.258566e-01
7.030000e-09	8.200000e-01	0.000000e+00	2.460000e-01	8.200000e-01	0.000000e+00	8.362616e-01
7.070000e-09	8.200000e-01	0.000000e+00	5.740000e-01	8.200000e-01	0.000000e+00	8.499917e-01
7.100000e-09	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.566460e-01
7.108000e-09	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.547247e-01
7.124000e-09	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.511677e-01
7.156000e-09	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.454071e-01
7.220000e-09	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.372011e-01
7.348000e-09	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.269814e-01
7.604000e-09	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.192966e-01
8.116000e-09	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.202455e-01
8.643321e-09	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.199699e-01
9.600452e-09	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.199650e-01
1.062057e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.200557e-01
1.100000e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.199212e-01
1.101000e-08	8.200000e-01	8.200000e-02	8.200000e-01	8.200000e-01	0.000000e+00	8.200442e-01
1.103000e-08	8.200000e-01	2.460000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.202274e-01
1.107000e-08	8.200000e-01	5.740000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.202876e-01
1.110000e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.200771e-01
1.110800e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.199684e-01
1.112400e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.198015e-01
1.115600e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.196656e-01
1.122000e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.197572e-01
1.134800e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.200955e-01
1.160400e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.200391e-01
1.205033e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.199476e-01
1.258671e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.200344e-01
1.365946e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.199633e-01
1.580497e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.200267e-01
1.610000e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.199801e-01
1.611000e-08	8.200000e-01	7.380000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.199403e-01
1.613000e-08	8.200000e-01	5.740000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.198323e-01
1.617000e-08	8.200000e-01	2.460000e-01	8.200000e-01	8.200000e-01	0.000000e+00	8.197301e-01
1.620000e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.198436e-01
1.620800e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.199659e-01
1.622400e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.201637e-01
1.625600e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.203004e-01
1.632000e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.201856e-01
1.644800e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.198931e-01
1.670400e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.199741e-01
1.700000e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	0.000000e+00	8.200295e-01
1.701000e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	8.200000e-02	8.200320e-01
1.703000e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	2.460000e-01	8.200296e-01
1.707000e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	5.740000e-01	8.199909e-01
1.710000e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	8.200000e-01	8.199088e-01
1.710800e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	8.200000e-01	8.198911e-01
1.712400e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	8.200000e-01	8.198817e-01
1.715600e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	8.200000e-01	8.199521e-01
1.722000e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	8.200000e-01	8.201936e-01
1.734800e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	8.200000e-01	8.201627e-01
1.760400e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	8.200000e-01	8.197819e-01
1.797876e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	8.200000e-01	8.200903e-01
1.851679e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	8.200000e-01	8.199456e-01
1.928176e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	8.200000e-01	8.200249e-01
2.017017e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	8.200000e-01	8.199818e-01
2.100000e-08	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	8.200000e-01	8.199997e-01
2.101000e-08	8.200000e-01	8.200000e-02	8.200000e-01	8.200000e-01	8.200000e-01	8.201220e-01
2.103000e-08	8.200000e-01	2.460000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.202803e-01
2.107000e-08	8.200000e-01	5.740000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.201466e-01
2.110000e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.196231e-01
2.110800e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.194487e-01
2.112400e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.191980e-01
2.115600e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.190828e-01
2.122000e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.198084e-01
2.134800e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.249192e-01
2.160400e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	7.271009e-01
2.204733e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	9.454698e-02
2.259505e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	-5.673923e-02
2.344104e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	4.396654e-02
2.453707e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	-3.491868e-02
2.510000e-08	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	8.200000e-01	2.338313e-02
2.511000e-08	8.200000e-01	8.200000e-01	7.380000e-01	8.200000e-01	8.200000e-01	1.403020e-02
2.513000e-08	8.200000e-01	8.200000e-01	5.740000e-01	8.200000e-01	8.200000e-01	-2.475627e-03
2.517000e-08	8.200000e-01	8.200000e-01	2.460000e-01	8.200000e-01	8.200000e-01	-2.474006e-02
2.520000e-08	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	-3.538734e-02
2.520800e-08	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	-3.376330e-02
2.522400e-08	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	-3.057842e-02
2.525600e-08	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	-2.488803e-02
2.532000e-08	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	-1.645981e-02
2.544800e-08	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	-5.849840e-03
2.570400e-08	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	1.326276e-03
2.610000e-08	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	8.200000e-01	-5.355157e-04
2.611000e-08	8.200000e-01	7.380000e-01	0.000000e+00	8.200000e-01	8.200000e-01	-5.872154e-04
2.613000e-08	8.200000e-01	5.740000e-01	0.000000e+00	8.200000e-01	8.200000e-01	-5.771110e-04
