time (time)	v(vdd) (voltage)	v(clk) (voltage)	v(sig) (voltage)	v(en) (voltage)	v(rst) (voltage)	v(out) (voltage)
0.000000e+00	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.794298e-07
1.000000e-13	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.810686e-08
2.000000e-13	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.743132e-07
4.000000e-13	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.548292e-07
8.000000e-13	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.237982e-07
1.600000e-12	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.604048e-07
3.200000e-12	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.276492e-07
6.400000e-12	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.651766e-07
1.280000e-11	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.457098e-07
2.560000e-11	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.053545e-07
5.120000e-11	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.750101e-07
1.024000e-10	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.093444e-07
2.048000e-10	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.899888e-07
4.096000e-10	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.885374e-07
8.192000e-10	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.090397e-07
1.000000e-09	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.668694e-07
1.010000e-09	8.200000e-01	8.200000e-02	0.000000e+00	0.000000e+00	0.000000e+00	3.651519e-05
1.030000e-09	8.200000e-01	2.460000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.071549e-04
1.070000e-09	8.200000e-01	5.740000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.590112e-04
1.100000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.693629e-05
1.108000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-8.140461e-06
1.124000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.223624e-04
1.156000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.957703e-04
1.220000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.165351e-04
1.348000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.139639e-05
1.604000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-3.419346e-06
2.000000e-09	8.200000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-8.127407e-08
2.010000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-02	0.000000e+00	3.138610e-03
2.030000e-09	8.200000e-01	8.200000e-01	0.000000e+00	2.460000e-01	0.000000e+00	9.220416e-03
2.070000e-09	8.200000e-01	8.200000e-01	0.000000e+00	5.740000e-01	0.000000e+00	1.631979e-02
2.100000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	1.078232e-02
2.108000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	5.584288e-03
2.124000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-3.898219e-03
2.156000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-1.629374e-02
2.220000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-1.687293e-02
2.348000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-1.570348e-04
2.604000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	2.902077e-04
2.970695e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-2.579782e-04
