time (time)	v(vdd) (voltage)	v(clk) (voltage)	v(sig) (voltage)	v(en) (voltage)	v(rst) (voltage)	v(out) (voltage)
0.000000e+00	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.254033e-06
1.000000e-13	8.000000e-01	8.000000e-04	0.000000e+00	8.000000e-04	0.000000e+00	3.853442e-05
2.000000e-13	8.000000e-01	1.600000e-03	0.000000e+00	1.600000e-03	0.000000e+00	7.296434e-05
4.000000e-13	8.000000e-01	3.200000e-03	0.000000e+00	3.200000e-03	0.000000e+00	1.417168e-04
8.000000e-13	8.000000e-01	6.400000e-03	0.000000e+00	6.400000e-03	0.000000e+00	2.780509e-04
1.600000e-12	8.000000e-01	1.280000e-02	0.000000e+00	1.280000e-02	0.000000e+00	5.515093e-04
3.200000e-12	8.000000e-01	2.560000e-02	0.000000e+00	2.560000e-02	0.000000e+00	1.092001e-03
6.400000e-12	8.000000e-01	5.120000e-02	0.000000e+00	5.120000e-02	0.000000e+00	2.136512e-03
1.280000e-11	8.000000e-01	1.024000e-01	0.000000e+00	1.024000e-01	0.000000e+00	4.113416e-03
2.560000e-11	8.000000e-01	2.048000e-01	0.000000e+00	2.048000e-01	0.000000e+00	7.860691e-03
5.120000e-11	8.000000e-01	4.096000e-01	0.000000e+00	4.096000e-01	0.000000e+00	1.355312e-02
1.000000e-10	8.000000e-01	8.000000e-01	0.000000e+00	8.000000e-01	0.000000e+00	5.734547e-03
1.051200e-10	8.000000e-01	8.000000e-01	0.000000e+00	8.000000e-01	0.000000e+00	1.839239e-03
1.153600e-10	8.000000e-01	8.000000e-01	0.000000e+00	8.000000e-01	0.000000e+00	-5.487982e-03
1.358400e-10	8.000000e-01	8.000000e-01	0.000000e+00	8.000000e-01	0.000000e+00	-1.547983e-02
1.768000e-10	8.000000e-01	8.000000e-01	0.000000e+00	8.000000e-01	0.000000e+00	-1.876945e-02
2.587200e-10	8.000000e-01	8.000000e-01	0.000000e+00	8.000000e-01	0.000000e+00	-3.831643e-03
4.225600e-10	8.000000e-01	8.000000e-01	0.000000e+00	8.000000e-01	0.000000e+00	1.360389e-03
7.084390e-10	8.000000e-01	8.000000e-01	0.000000e+00	8.000000e-01	0.000000e+00	-7.541479e-04
1.075921e-09	8.000000e-01	8.000000e-01	0.000000e+00	8.000000e-01	0.000000e+00	4.688029e-04
1.810885e-09	8.000000e-01	8.000000e-01	0.000000e+00	8.000000e-01	0.000000e+00	-3.668997e-04
3.280814e-09	8.000000e-01	8.000000e-01	0.000000e+00	8.000000e-01	0.000000e+00	3.275938e-04
5.100000e-09	8.000000e-01	8.000000e-01	0.000000e+00	8.000000e-01	0.000000e+00	-2.949917e-04
5.110000e-09	8.000000e-01	7.200000e-01	0.000000e+00	8.000000e-01	0.000000e+00	-3.069795e-04
5.130000e-09	8.000000e-01	5.600000e-01	0.000000e+00	8.000000e-01	0.000000e+00	-3.045023e-04
5.170000e-09	8.000000e-01	2.400000e-01	0.000000e+00	8.000000e-01	0.000000e+00	-2.384394e-04
5.200000e-09	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	0.000000e+00	-1.470559e-04
5.208000e-09	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	0.000000e+00	-7.818159e-05
5.224000e-09	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	0.000000e+00	3.199836e-05
5.256000e-09	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	0.000000e+00	1.347873e-04
5.320000e-09	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	0.000000e+00	1.652707e-04
5.448000e-09	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	0.000000e+00	3.861517e-05
5.704000e-09	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	0.000000e+00	-8.309706e-05
6.216000e-09	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	0.000000e+00	4.494596e-05
7.000000e-09	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	0.000000e+00	-1.997315e-05
7.010000e-09	8.000000e-01	0.000000e+00	8.000000e-02	8.000000e-01	0.000000e+00	6.500669e-03
7.030000e-09	8.000000e-01	0.000000e+00	2.400000e-01	8.000000e-01	0.000000e+00	1.786050e-02
7.070000e-09	8.000000e-01	0.000000e+00	5.600000e-01	8.000000e-01	0.000000e+00	3.112550e-02
7.100000e-09	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	3.547200e-02
7.108000e-09	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	3.235036e-02
7.124000e-09	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	2.682283e-02
7.156000e-09	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	1.905860e-02
7.220000e-09	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	1.079988e-02
7.348000e-09	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	5.933369e-03
7.604000e-09	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	4.493822e-03
8.028771e-09	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	1.892168e-03
8.557550e-09	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	5.824952e-04
9.372833e-09	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	6.349999e-04
1.000000e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	2.658298e-04
1.001000e-08	8.000000e-01	8.000000e-02	8.000000e-01	8.000000e-01	0.000000e+00	3.122240e-04
1.003000e-08	8.000000e-01	2.400000e-01	8.000000e-01	8.000000e-01	0.000000e+00	4.244604e-04
1.007000e-08	8.000000e-01	5.600000e-01	8.000000e-01	8.000000e-01	0.000000e+00	6.821459e-04
1.010000e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	0.000000e+00	8.496762e-04
1.010800e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	0.000000e+00	8.072679e-04
1.012400e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	0.000000e+00	7.166177e-04
1.015600e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	0.000000e+00	5.435368e-04
1.022000e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	0.000000e+00	3.338664e-05
1.034800e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	0.000000e+00	-2.351547e-03
1.060400e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	0.000000e+00	1.060710e-02
1.101056e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	0.000000e+00	5.157498e-01
1.156150e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	0.000000e+00	8.615022e-01
1.251196e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	0.000000e+00	7.596120e-01
1.366050e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	0.000000e+00	8.264982e-01
1.510000e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	0.000000e+00	7.800669e-01
1.511000e-08	8.000000e-01	7.200000e-01	8.000000e-01	8.000000e-01	0.000000e+00	7.818073e-01
1.513000e-08	8.000000e-01	5.600000e-01	8.000000e-01	8.000000e-01	0.000000e+00	7.849086e-01
1.517000e-08	8.000000e-01	2.400000e-01	8.000000e-01	8.000000e-01	0.000000e+00	7.895031e-01
1.520000e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	7.920206e-01
1.520800e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	7.926458e-01
1.522400e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	7.937787e-01
1.525600e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	7.954786e-01
1.532000e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	7.975209e-01
1.544800e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	7.992104e-01
1.570400e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	7.999320e-01
1.621600e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	8.000030e-01
1.702036e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	7.999576e-01
1.806321e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	7.999878e-01
2.000000e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	0.000000e+00	7.999642e-01
2.001000e-08	8.000000e-01	8.000000e-02	8.000000e-01	8.000000e-01	8.000000e-02	8.000753e-01
2.003000e-08	8.000000e-01	2.400000e-01	8.000000e-01	8.000000e-01	2.400000e-01	8.002358e-01
2.007000e-08	8.000000e-01	5.600000e-01	8.000000e-01	8.000000e-01	5.600000e-01	8.002412e-01
2.010000e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	7.999223e-01
2.010800e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	7.998020e-01
2.012400e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	7.996278e-01
2.015600e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	7.995858e-01
2.022000e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	8.000052e-01
2.034800e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	8.002851e-01
2.060400e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	7.998690e-01
2.093569e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	7.999064e-01
2.146961e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	8.000002e-01
2.225720e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	7.999572e-01
2.309442e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	7.999904e-01
2.459505e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	7.999602e-01
2.510000e-08	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	8.000000e-01	7.999896e-01
2.511000e-08	8.000000e-01	7.200000e-01	8.000000e-01	8.000000e-01	8.000000e-01	7.999443e-01
2.513000e-08	8.000000e-01	5.600000e-01	8.000000e-01	8.000000e-01	8.000000e-01	7.998370e-01
2.517000e-08	8.000000e-01	2.400000e-01	8.000000e-01	8.000000e-01	8.000000e-01	7.997116e-01
2.520000e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	8.000000e-01	7.997740e-01
2.520800e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	8.000000e-01	7.998777e-01
2.522400e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	8.000000e-01	8.000464e-01
2.525600e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	8.000000e-01	8.002037e-01
2.532000e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	8.000000e-01	8.001849e-01
2.544800e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	8.000000e-01	7.999601e-01
2.570400e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	8.000000e-01	7.999062e-01
2.621600e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	8.000000e-01	8.000188e-01
2.694075e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	8.000000e-01	7.999479e-01
2.710000e-08	8.000000e-01	0.000000e+00	8.000000e-01	8.000000e-01	8.000000e-01	7.999762e-01
2.711000e-08	8.000000e-01	0.000000e+00	7.200000e-01	8.000000e-01	8.000000e-01	7.948602e-01
2.713000e-08	8.000000e-01	0.000000e+00	5.600000e-01	8.000000e-01	8.000000e-01	7.852429e-01
2.717000e-08	8.000000e-01	0.000000e+00	2.400000e-01	8.000000e-01	8.000000e-01	7.672896e-01
2.720000e-08	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	8.000000e-01	7.528701e-01
2.720800e-08	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	8.000000e-01	7.525968e-01
2.722400e-08	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	8.000000e-01	7.524754e-01
2.725600e-08	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	8.000000e-01	7.541518e-01
2.732000e-08	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	8.000000e-01	7.625393e-01
2.744800e-08	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	8.000000e-01	7.837572e-01
2.770400e-08	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	8.000000e-01	8.009764e-01
2.815600e-08	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	8.000000e-01	7.994614e-01
2.905999e-08	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	8.000000e-01	8.002760e-01
3.000000e-08	8.000000e-01	0.000000e+00	0.000000e+00	8.000000e-01	8.000000e-01	7.996910e-01
