time (time)	v(vdd) (voltage)	v(clk) (voltage)	v(sig) (voltage)	v(en) (voltage)	v(rst) (voltage)	v(out) (voltage)
0.000000e+00	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.395831e-06
1.000000e-13	8.200000e-01	8.200000e-04	0.000000e+00	8.200000e-04	0.000000e+00	9.659791e-06
2.000000e-13	8.200000e-01	1.640000e-03	0.000000e+00	1.640000e-03	0.000000e+00	4.767358e-05
4.000000e-13	8.200000e-01	3.280000e-03	0.000000e+00	3.280000e-03	0.000000e+00	1.664240e-04
8.000000e-13	8.200000e-01	6.560000e-03	0.000000e+00	6.560000e-03	0.000000e+00	3.124657e-04
1.600000e-12	8.200000e-01	1.312000e-02	0.000000e+00	1.312000e-02	0.000000e+00	6.062696e-04
3.200000e-12	8.200000e-01	2.624000e-02	0.000000e+00	2.624000e-02	0.000000e+00	1.175719e-03
6.400000e-12	8.200000e-01	5.248000e-02	0.000000e+00	5.248000e-02	0.000000e+00	2.275935e-03
1.280000e-11	8.200000e-01	1.049600e-01	0.000000e+00	1.049600e-01	0.000000e+00	4.345671e-03
2.560000e-11	8.200000e-01	2.099200e-01	0.000000e+00	2.099200e-01	0.000000e+00	8.209745e-03
5.120000e-11	8.200000e-01	4.198400e-01	0.000000e+00	4.198400e-01	0.000000e+00	1.313268e-02
1.000000e-10	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	2.167278e-03
1.051200e-10	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-2.165449e-03
1.153600e-10	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-9.953395e-03
1.358400e-10	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-1.884258e-02
1.768000e-10	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-1.765186e-02
2.587200e-10	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-2.054754e-03
4.225600e-10	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	9.598546e-04
6.707264e-10	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-5.633698e-04
1.046217e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	4.004597e-04
1.797198e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-3.213385e-04
3.299160e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	3.053089e-04
5.100000e-09	8.200000e-01	8.200000e-01	0.000000e+00	8.200000e-01	0.000000e+00	-2.703609e-04
